"","JoinID","marine.incr","marine.circ","SeaAge","DaysatSea"
"1","1975_71118",3.04703333333333,59,"2SW",792
"2","1975_73713",3.18112666666667,57,"2SW",786
"3","1975_83241",3.01121333333333,60,"2SW",768
"4","1975_84124",3.06502666666667,62,"2SW",765
"5","1976_3774",2.87344666666667,57,"2SW",820
"6","1976_6816",2.09062666666667,44,"2SW",776
"7","1976_13620",2.67186666666667,56,"2SW",829
"8","1977_120947",2.561,50,"2SW",768
"9","1996_939999",2.71254666666667,56,"2SW",767
"10","1996_942129",2.59854666666667,52,"2SW",774
"11","1984_2785",2.74332,55,"2SW",796
"12","1984_13425",2.69465333333333,59,"2SW",764
"13","1984_24799",3.42055333333333,59,"2SW",763
"14","1984_31843",2.82668,55,"2SW",745
"15","1984_76751",2.35908,50,"2SW",745
"16","1975_18679",3.27575333333333,59,"2SW",784
"17","1975_19817",2.9992,56,"2SW",794
"18","1975_21385",3.25786,63,"2SW",790
"19","1975_23318",3.49822,70,"2SW",795
"20","1975_23345",2.53831333333333,54,"2SW",790
"21","1975_24199",2.34637333333333,50,"2SW",783
"22","1975_71218",2.81304,53,"2SW",800
"23","1975_72611",3.02474,62,"2SW",785
"24","1975_73541",3.38102,66,"2SW",798
"25","1975_74785",3.78384,67,"2SW",771
"26","1975_74788",2.90897333333333,65,"2SW",791
"27","1975_74907",2.88983333333333,54,"2SW",791
"28","1975_76203",3.64074666666667,67,"2SW",784
"29","1975_76602",2.80913333333333,63,"2SW",773
"30","1975_76848",3.33320666666667,57,"2SW",789
"31","1975_77465",3.38318,60,"2SW",876
"32","1975_77601",3.71028666666667,67,"2SW",794
"33","1975_78695",3.36056666666667,61,"2SW",789
"34","1975_79319",3.11604,54,"2SW",788
"35","1975_79809",3.08557333333333,60,"2SW",773
"36","1975_80214",2.92934,61,"2SW",800
"37","1975_80550",3.16340666666667,65,"2SW",791
"38","1975_80634",3.68908666666667,64,"2SW",786
"39","1975_80979",2.95247333333333,59,"2SW",790
"40","1975_82459",3.30391333333333,59,"2SW",784
"41","1975_82542",3.01734,56,"2SW",791
"42","1975_82835",3.12008666666667,62,"2SW",788
"43","1975_83066",3.08768,53,"2SW",788
"44","1975_85362",3.83517333333333,70,"2SW",787
"45","1975_85831",3.59781333333333,63,"2SW",795
"46","1975_86568",2.75019333333333,54,"2SW",789
"47","1975_87618",3.20548666666667,60,"2SW",791
"48","1975_88799",3.04371333333333,56,"2SW",795
"49","1975_89201",2.48968666666667,55,"2SW",799
"50","1975_89918",3.08949333333333,61,"2SW",784
"51","1976_1438",2.55104666666667,55,"2SW",778
"52","1976_4134",2.67444666666667,57,"2SW",771
"53","1976_5022",2.52486666666667,56,"2SW",793
"54","1976_5923",2.58457333333333,55,"2SW",823
"55","1976_5977",2.68848666666667,58,"2SW",852
"56","1976_7075",2.95620666666667,56,"2SW",771
"57","1976_7956",2.81144666666667,63,"2SW",814
"58","1976_8291",3.15989333333333,56,"2SW",780
"59","1976_8654",3.17690666666667,62,"2SW",877
"60","1976_9243",2.87385333333333,56,"2SW",777
"61","1976_9490",3.02679333333333,61,"2SW",894
"62","1976_9829",2.57571333333333,56,"2SW",804
"63","1976_11876",2.55879333333333,54,"2SW",782
"64","1976_11879",2.30692,50,"2SW",825
"65","1976_12733",2.19328666666667,46,"2SW",818
"66","1976_12842",2.96726666666667,58,"2SW",782
"67","1976_13692",2.75228,53,"2SW",888
"68","1976_14181",2.63312666666667,56,"2SW",800
"69","1976_14301",2.46118,49,"2SW",805
"70","1976_14341",2.76386666666667,54,"2SW",776
"71","1976_14561",3.13925333333333,60,"2SW",780
"72","1976_14817",2.52017333333333,51,"2SW",803
"73","1976_15680",3.26494,66,"2SW",775
"74","1976_16015",2.75934,60,"2SW",785
"75","1976_16805",2.79650666666667,57,"2SW",866
"76","1976_17029",2.63291333333333,55,"2SW",781
"77","1976_22882",2.97016,57,"2SW",821
"78","1976_24026",2.82482,58,"2SW",851
"79","1977_116117",2.73324666666667,55,"2SW",792
"80","1977_121182",2.55338,57,"2SW",781
"81","1977_121697",2.87820666666667,60,"2SW",787
"82","1977_122470",2.53148666666667,49,"2SW",781
"83","1977_122689",2.65303333333333,56,"2SW",775
"84","1977_124822",2.43438666666667,54,"2SW",798
"85","1977_125187",3.32008666666667,58,"2SW",780
"86","1977_125839",3.2977,61,"2SW",783
"87","1977_126028",3.72211333333333,66,"2SW",772
"88","1977_126116",3.12155333333333,57,"2SW",798
"89","1977_126183",2.64654666666667,52,"2SW",806
"90","1977_126210",3.16673333333333,57,"2SW",774
"91","1977_127142",2.90244,53,"2SW",768
"92","1977_128041",2.70122,58,"2SW",773
"93","1977_130125",3.36400666666667,67,"2SW",773
"94","1977_133971",3.09702,60,"2SW",773
"95","1977_135491",2.78207333333333,54,"2SW",775
